"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1775565679640408359","Wed Apr 03 16:47:01 +0000 2024","397","Makan siang gratis untuk Ibu ini perlu https://t.co/YEUKVP0rIx","1775565679640408359","https://pbs.twimg.com/ext_tw_video_thumb/1775565596391784448/pu/img/mSvgMl0LyxCgRJ39.jpg","","in","New York, USA","11","18","209","https://twitter.com/ShamsiAli2/status/1775565679640408359","380347823","ShamsiAli2"
"1775112289336934695","Tue Apr 02 12:51:08 +0000 2024","10","@ARSIPAJA Tes kelayakan makan siang gratis https://t.co/9xk4nf57zi","1775143932541952337","https://pbs.twimg.com/ext_tw_video_thumb/1775143909070708736/pu/img/-yhcjW-5nZVswcqL.jpg","ARSIPAJA","in","Tebet, Indonesia","0","13","3","https://twitter.com/upetis/status/1775143932541952337","715688234","upetis"
"1775339462152888695","Wed Apr 03 01:48:06 +0000 2024","844","Bangunkan itu yang tidur. Ini ruang sidang bukan ruang tungguh makan siang gratis!!! https://t.co/9kV0crY4Ub","1775339462152888695","https://pbs.twimg.com/ext_tw_video_thumb/1775339440728403968/pu/img/N0OsMYO19ZLDn4l7.jpg","","in","","18","63","244","https://twitter.com/msobri99/status/1775339462152888695","1186243531037270017","msobri99"
"1774026512489906323","Sat Mar 30 10:50:55 +0000 2024","313","Solusinya gampang Bu Susi. Makan siang dan susu gratis ","1774026512489906323","","","in","New York, USA","1","13","135","https://twitter.com/ShamsiAli2/status/1774026512489906323","380347823","ShamsiAli2"
"1775364127491305882","Wed Apr 03 03:26:07 +0000 2024","74","Kemarin itu saat rencana anggarannya Rp.15.000/pack langsung aja ada Chef yg spill skema belanjanya. Bantu tanyain donk apa dia ada rencana revisi skema? *** Dengan kurs dollar hari ini (Rp15.900/$1) artinya anggaran utk makan siang gratis itu cuma sebesar Rp1.750. https://t.co/Z21hj9Ox9e","1775364127491305882","https://pbs.twimg.com/media/GKNcQ6jbcAAYvUq.jpg","","in","In the middle of nowhere","10","39","28","https://twitter.com/DaddyMinusSugar/status/1775364127491305882","1683573670822948864","DaddyMinusSugar"
"1775364916775637153","Wed Apr 03 03:29:15 +0000 2024","204"," Makan siang gratis lebih penting katanya ","1775364916775637153","","","in","","1","8","55","https://twitter.com/ariel_heryanto/status/1775364916775637153","296143572","ariel_heryanto"
"1773610728370446460","Fri Mar 29 07:18:44 +0000 2024","36","Gerindra: Prabowo The New Soekarno Hilangkan Kemiskinan dengan Program Makan Siang Gratis https://t.co/JJKLhWwxzi","1773610728370446460","","","in","","7","128","27","https://twitter.com/OposisiCerdas/status/1773610728370446460","887743587579944960","OposisiCerdas"
"1775366712730513709","Wed Apr 03 03:36:23 +0000 2024","376",". . Gibran Kirim Tim ke India belajar Program Makan Siang Gratis ... Meanwhile in India ... . . https://t.co/2uvO18Lrlv","1775366712730513709","https://pbs.twimg.com/media/GKNdkuHacAAwjIX.jpg","","in","Social Media Influencer","16","88","143","https://twitter.com/StefanAntonio__/status/1775366712730513709","1529491450605768704","StefanAntonio__"
"1774695732211228685","Mon Apr 01 07:10:09 +0000 2024","95","Dengan pendidikan yg baik seseorang bisa meningkatkan kesejahteraan keluarga nya dan berkompetisi dg dunia luar. Salut dgn pemerintah Singapore yg memberikan subsdi kpd nya yg berusia di atas 40 thn agar kembali meneruskan pendidikan di PT bukan sekedar makan siang gratis! https://t.co/cMKE8GsJrX","1774695732211228685","https://pbs.twimg.com/ext_tw_video_thumb/1774695349975920640/pu/img/fDTP90K8TVtPgprq.jpg","","in","Indonesia ","1","9","42","https://twitter.com/ariefrasyad/status/1774695732211228685","38112151","ariefrasyad"
"1775085199401038049","Tue Apr 02 08:57:45 +0000 2024","219","Gibran Mau Tiru Program Makan Siang Gratis India Per Anak 11 Sen USD https://t.co/UNkuVkSOuS","1775085199401038049","","","in","","263","157","37","https://twitter.com/CNNIndonesia/status/1775085199401038049","17128975","CNNIndonesia"
"1775768760814887184","Thu Apr 04 06:13:59 +0000 2024","0","Hi info dong makan siang gratis ambilnya dimana guys? https://t.co/9nWoJlZdcN","1775768760814887184","https://pbs.twimg.com/media/GKTMRVBb0AAt7xZ.jpg","","in","2150.","1","14","0","https://twitter.com/BelleMinju/status/1775768760814887184","1679489286792704001","BelleMinju"
"1775398052297355379","Wed Apr 03 05:40:55 +0000 2024","117","Selain memenuhi undangan Pemimpin China untuk persahabatan Indonesia China Ternyata Prabowo mendapat kesempatan belajar pelaksanaan makan siang gratis . BUKAN belajar Korupsi e-KTP Bank Jateng &amp; BUKAN Korupsi Formula E dr Malaikat JIBRIL cc @aniesbaswedan @ganjarpranowo https://t.co/zMiqYG7S1E","1775398052297355379","https://pbs.twimg.com/ext_tw_video_thumb/1775396880111046656/pu/img/Nj8U0xtjdrKmIDRZ.jpg","","in","","1","45","27","https://twitter.com/romo_icikiwir/status/1775398052297355379","1707296384347697152","romo_icikiwir"
