"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1776183126211088844","Fri Apr 05 09:40:31 +0000 2024","332","the ok gas song and the hiring of celebrity lawyers as defenders for the election dispute makes me think that the prabowo presidency is in many ways a logical culmination of indonesian popular mass culture as legitimizing force of the regime which gets more blatant over time","1776183126211088844","","","en","los pronouns hormonos","3","5","106","https://twitter.com/discommie/status/1776183126211088844","1035915692032241664","discommie"
"1776135083885547772","Fri Apr 05 06:29:37 +0000 2024","146","GURU BESAR IPDN SEBUT DUKUNGAN PRESIDEN JOKOWI DONGKRAK SUARA PRABOWO-GIBRAN... PARA PJ DENGAN SEGALA CARA DILAKUKAN UNTUK MEMENANGKAN 02 AGAR KARIR BIROKRASINYA AMAN....‼️ #BongkarNepotismeJokowi #BongkarNepotismeJokowi 🆘🆗 https://t.co/988eZnltNk","1776135083885547772","https://pbs.twimg.com/ext_tw_video_thumb/1776135033239359488/pu/img/caofzdGTaT_7V8Av.jpg","","in","","2","0","99","https://twitter.com/secr3thm4nz56/status/1776135083885547772","1412374538722058244","secr3thm4nz56"
"1775092542553698696","Tue Apr 02 09:26:56 +0000 2024","2686","Prabowo lagi interview user","1775092542553698696","","","in","Jawa","8","15","832","https://twitter.com/anonjawa/status/1775092542553698696","1689095684895772672","anonjawa"
"1776034507751387189","Thu Apr 04 23:49:58 +0000 2024","39","SEGITUNYA BELA JKW PRABOWO! AHLI 02 BANYAK BLUNDER! SINGGUNG SOAL BANSOS CAWE-CAWE JKW &amp; ETIKA!! https://t.co/1TYvoB2FRB","1776034507751387189","https://pbs.twimg.com/media/GKW9-NXbIAAw1yr.jpg","","in","","0","1","26","https://twitter.com/herculep638/status/1776034507751387189","1722014606712094720","herculep638"
"1775023857994441214","Tue Apr 02 04:54:00 +0000 2024","22170","normalize blaming all this country shit on jokowi and prabowo and gibran and all their alliances https://t.co/0lzR9T5Az4","1775023857994441214","https://pbs.twimg.com/media/GKImyYlaIAAa9aQ.jpg","","en","DO NOT FOLLOW","928","206","7826","https://twitter.com/scenenical/status/1775023857994441214","1761727876981030912","scenenical"
"1775561208076304690","Wed Apr 03 16:29:14 +0000 2024","297","Dari yg tau diri ga mau berjalan diatas karpet merah sampe siKarpet merahnya yg nge-gelar buat kedatangannya Prabowo luar biasa🇲🇨 #TegakLurusPRABOWO https://t.co/fLhDYQTWAN","1775561208076304690","https://pbs.twimg.com/ext_tw_video_thumb/1775561155060346880/pu/img/0-R_uLpQdJ2_o25p.jpg","","in","","7","47","86","https://twitter.com/Chavesz08/status/1775561208076304690","1523245126784413696","Chavesz08"
"1774744732259987508","Mon Apr 01 10:24:51 +0000 2024","773","PAKAR FE UI PAPARKAN DATA MENGEJUTKAN: TANPA DUKUNGAN BANSOS &amp; JOKOWI SUARA PRABOWO HANYA 42 38% https://t.co/vfUzFrlQFq","1774744732259987508","https://pbs.twimg.com/media/GKEo7adaEAAiGkG.jpg","","in","","4","12","420","https://twitter.com/herculep638/status/1774744732259987508","1722014606712094720","herculep638"
"1774570400581882231","Sun Mar 31 22:52:08 +0000 2024","39","The most normal prabowo supporter ","1774570400581882231","","","en","pyongyang","0","3","5","https://twitter.com/barubikinlol/status/1774570400581882231","1709548702791352320","barubikinlol"
"1776100845828153371","Fri Apr 05 10:27:16 +0000 2024","235","@erickyoku kata bobon peliharaaan prabowo lokasinya ditentuin mereka maybe biar gak ketahuan bobroknya https://t.co/qzNsCnubCO","1776194887983264023","https://pbs.twimg.com/media/GKZP1LIboAAVo0u.jpg","erickyoku","in","Gowa, Sulawesi Selatan","20","26","19","https://twitter.com/Ikrambukaniqram/status/1776194887983264023","1127474141315997696","Ikrambukaniqram"
"1775201311929315335","Tue Apr 02 16:39:09 +0000 2024","78","Prabowo = Jokowi 3 Periode !!! Once again I would emphasize that I would like to continue the policy of The President Joko Widodo... .. Comment Yang Sopan Bray.. https://t.co/F1dVowDlnm","1775201311929315335","https://pbs.twimg.com/ext_tw_video_thumb/1775201260821721088/pu/img/plET4FrxG6XjvR5e.jpg","","en","Jakarta","1","7","48","https://twitter.com/Kanseulir/status/1775201311929315335","279312062","Kanseulir"
