"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773345042083590247","Thu Mar 28 13:42:59 +0000 2024","1091","Kata Yusril putusan MK soal batas usia capres-cawapres cacat hukum serius. Tapi Yusril kini malah jadi tim Pengacara TPN 02 Prabowo-Gibran. Jadi aneh kan ? https://t.co/D7xELeczi2","1773345042083590247","https://pbs.twimg.com/media/GJwv6fLaYAAJ-tl.jpg","","in","Indonesia","36","207","479","https://twitter.com/DoankWarto/status/1773345042083590247","938664737369341952","DoankWarto"
"1775936660351644093","Thu Apr 04 17:21:09 +0000 2024","537","#TumbangkanRezimGarong #TumbangkanRezimGarong Kepada YM Majelis Hakim MK yang kami Rakyat sangat hormati tolong jangan kecewakan kami dengan putusan yang jauh dari keadilan. Gelombang protes rakyat akan semakin besar dan dapat berujung Revolusi People Power bahkan MOGOK https://t.co/0ck7GY3uQx","1775936660351644093","https://pbs.twimg.com/media/GKVk-u1bwAAW5Ec.jpg","","in","","4","54","220","https://twitter.com/Freed0mland5151/status/1775936660351644093","1630573716169170944","Freed0mland5151"
"1773261066140790927","Thu Mar 28 08:09:18 +0000 2024","175","Dagelan gugatan di MK . . 60% isi petitum gugatan 01 &amp; 03 adalah keberatan atas keabsahan wapres 02 yg dianggap cacat hukum. Lagi cuma curhatan karena tdk disertakan bukti yg valid. Karena pencapresan Gibran sah berdasarkan putusan MK No.90 yg sdh final dan mengikat. Mestinya https://t.co/yUNInevDGs","1773261066140790927","https://pbs.twimg.com/ext_tw_video_thumb/1773260908607000576/pu/img/61ykaH3vmlJ0ulxO.jpg","","in","DKI Jakarta","6","22","78","https://twitter.com/Belok_dong/status/1773261066140790927","1172676209995657216","Belok_dong"
"1772444218713129438","Tue Mar 26 02:03:26 +0000 2024","403","Gelar Profesor Kehormatan Anwar Usman akan dicabut oleh Unissula menunggu peristiwa politik dan putusan PTUN berkekuatan hukum tetap. Putusan MK 90 yang loloskan pencawapresan Gibran menimbulkan kekisruhan #MKHarusJujurdanAdil #MKHarusJujurdanAdil https://t.co/e6uYp1aGQG","1772444218713129438","https://pbs.twimg.com/ext_tw_video_thumb/1772444179576377344/pu/img/SyN5M2vxaDaqbnCU.jpg","","in","","6","17","182","https://twitter.com/MichelAdam7__/status/1772444218713129438","1647311678160384007","MichelAdam7__"
"1776047724032631228","Fri Apr 05 00:42:29 +0000 2024","64","Berharap mndapatkan sesuatu sah - sah aja ya ? Margarito: Pendaftaran Gibran berlandaskan pada putusan Mahkamah Konstitusi (MK) Nomor 90. Kenapa Ribut Setelah Kalah? Margarito berpendapat bahwa MK tidak bisa mendiskualifikasi Prabowo-Gibran. https://t.co/FwXFxPvwBd","1776047724032631228","https://pbs.twimg.com/media/GKXFX-qbUAAG42G.jpg","","in","Cilalung _ JaBar 👉 🇮🇩","5","80","20","https://twitter.com/RCjpcpSnfBLLX9b/status/1776047724032631228","1429770675116408837","RCjpcpSnfBLLX9b"
"1775739323964657990","Thu Apr 04 04:17:01 +0000 2024","2557","Hakim MK Tolak Argumen Ahli Prabowo soal Putusan 90 Terkait Gibran https://t.co/rjxxSsZFnd","1775739323964657990","","","in","","13","58","574","https://twitter.com/CNNIndonesia/status/1775739323964657990","17128975","CNNIndonesia"
"1771123143379501080","Fri Mar 22 10:33:57 +0000 2024","1756","Sambut Putusan MK Syahganda Siap Gugat Presiden Jokowi https://t.co/okdo0XFuvs","1771123143379501080","","","in","","5","7","578","https://twitter.com/OposisiCerdas/status/1771123143379501080","887743587579944960","OposisiCerdas"
"1775965949994430884","Thu Apr 04 19:17:32 +0000 2024","2069","Putusan MK sederhana saja. Tolak permohonan O1 &amp; 03. Maka budaya Culas Gunakan kekuasaan. Gunakan segala cara utk menang adlh normal &amp; menjadi norma baru berbangsa &amp; bernegara. Atau Kabulkan permohonan yg contoh2nya sdh sgt kasat mata. Bangsa ini kembali kpd marwah berbangsa.","1775965949994430884","","","in","","5","87","608","https://twitter.com/GeiszChalifah/status/1775965949994430884","1297510664148103168","GeiszChalifah"
"1773102335905918985","Wed Mar 27 21:38:34 +0000 2024","972","Putusan MK Yang Meloloskan Gibran Cacat Hukum Serius. -Yusril Ihza Mahendra . https://t.co/z6FMYdcns7 .. https://t.co/LyTFimvQb9","1773102335905918985","https://pbs.twimg.com/ext_tw_video_thumb/1773102153697243136/pu/img/1Gl2pBAfprpKCvvd.jpg","","in","","53","91","661","https://twitter.com/cobeh2022/status/1773102335905918985","1603638553820684289","cobeh2022"
"1772168270205837637","Mon Mar 25 07:46:55 +0000 2024","50","Berkas gugatan pilpres sdh dimasukkan. Akan ada sidang² hingga putusan sidang MK yg akan diumumkan pd 22 April 2024. Menang real count blm sah sbg presiden terpilih. Jd buat para cebong bedakan antara Pemenang Real Count KPU dan Presiden Terpilih yg ditetapkan MK. Peace n ️ https://t.co/GDrONda3DC","1772168270205837637","https://pbs.twimg.com/ext_tw_video_thumb/1772168200857452544/pu/img/nY5bzYaJIUmIUhYe.jpg","","in","in ur dream 🥰","0","6","31","https://twitter.com/EonHadean/status/1772168270205837637","1730574421189173249","EonHadean"
"1771107431289847949","Fri Mar 22 09:31:31 +0000 2024","1320","Sambut Putusan MK Syahganda Siap Gugat Presiden Jokowi https://t.co/W7L6VyAzD7","1771107431289847949","","","in","Indonesia","2","10","320","https://twitter.com/geloraco/status/1771107431289847949","3319260420","geloraco"
"1767068860904362264","Mon Mar 11 06:03:41 +0000 2024","1340","APAKAH INI BAGIAN DR CAWE-CAWE ITU? PENUNJUKAN PJ mulai dr Gubernur Bupati Walikota tdk mematuhi putusan MK Karena itu Komisi Informasi Pusat &amp; Ombudsman menilai ini MALADMINISTRASI Seluruh daerah yg ada PJ nya terdapat 140jt pemilih yang setara dg 50% dr seluruh pemilih ‼️ https://t.co/GgvX3xahjT","1767068860904362264","https://pbs.twimg.com/ext_tw_video_thumb/1767068803752673280/pu/img/Sj3Lef2PqNRr31Kq.jpg","","in","","8","29","884","https://twitter.com/Boediantar4/status/1767068860904362264","1383750727575605257","Boediantar4"
"1768937956151325097","Sat Mar 16 09:50:48 +0000 2024","1141","Bocor Alus: Soal putusan MK ada perintah ke polri untuk intervensi hakim MK soal usia cawapres agar bisa lolos https://t.co/sjC0Xpd8eM","1768937956151325097","https://pbs.twimg.com/ext_tw_video_thumb/1768937844922589184/pu/img/D7-g6iZh-pVaVdj1.jpg","","in","","21","15","708","https://twitter.com/Boediantar4/status/1768937956151325097","1383750727575605257","Boediantar4"
"1772849158791307289","Wed Mar 27 04:52:32 +0000 2024","463","JANGAN BERHARAP BANYAK DENGAN KEPUTUSAN MAHKAMAH KONSTITUSI Oleh : Henri Subiakto Hari ini MK akan mulai sidang sengketa Pemilu. Gugatan 01 dan 03 digulirkan. Tp jangan tll berharap bnyk dg putusan MK krn menurut amatan para ahli di luar penguasa semua yg terjadi sekarang sdh https://t.co/IvGG115Qhy","1772849158791307289","https://pbs.twimg.com/amplify_video_thumb/1772845247497949184/img/1ZoWfUJ2vUfsN6Np.jpg","","in","Kota Surabaya, Jawa Timur. ","23","69","162","https://twitter.com/henrysubiakto/status/1772849158791307289","201554665","henrysubiakto"
"1773539505879793890","Fri Mar 29 02:35:43 +0000 2024","4878","Dulu Sebut Putusan MK Loloskan Gibran Cacat Hukum Kini Yusril Jadi Ketua Tim Pembela 02 https://t.co/dRsD0hpDGi","1773539505879793890","","","in","Indonesia","182","390","1343","https://twitter.com/geloraco/status/1773539505879793890","3319260420","geloraco"
"1776248981900906498","Fri Apr 05 14:02:13 +0000 2024","5","Percaya gk?...Tanggal 22 April pengucapan Putusan/Ketetapan hasil sengketa pilpres di MK Refly Harun bakal memaki-maki MK deh... https://t.co/LAq1aDRwAA","1776248981900906498","https://pbs.twimg.com/media/GKZ8_EvaMAAb3-i.png","","in","","1","4","2","https://twitter.com/tham878/status/1776248981900906498","1759100655783043072","tham878"
"1774480368386834473","Sun Mar 31 16:54:22 +0000 2024","1210","19 &amp; 22 April Aksi Kawal Putusan MK..!!! https://t.co/73QZCBBxYx","1774480368386834473","https://pbs.twimg.com/ext_tw_video_thumb/1774480289965989888/pu/img/--FyuqCI6-w0B9A-.jpg","","in","Jatinegara, Indonesia","6","25","448","https://twitter.com/DaengWahidin2/status/1774480368386834473","1401837073166860291","DaengWahidin2"
"1773574895441453108","Fri Mar 29 04:56:21 +0000 2024","1501","Pakar Prediksi Putusan MK Batalkan Kemenangan Prabowo Kabulkan Gugatan Anies-Ganjar Ini Dasarnya https://t.co/TjHs6B37de","1773574895441453108","","","in","","6","25","451","https://twitter.com/abwnewsco/status/1773574895441453108","1185767973111263233","abwnewsco"
